,연령대,성별,지역,가입경로,마케팅동의,회원구분,총구매금액,실결제금액,매장방문수,적립금,사용적립금,탈퇴여부
1012,미입력,미입력,선택,pc,F,사업자,456140.0,391140.0,5.0,5400.0,4000.0,T
1067,미입력,미입력,선택,pc,F,전화주문 고객,71450.0,57850.0,0.0,0.0,0.0,F
3543,미입력,미입력,선택,pc,F,전화주문 고객,197000.0,181240.0,0.0,0.0,0.0,T
1798,미입력,미입력,선택,pc,F,전화주문 고객,353760.0,119340.0,0.0,0.0,0.0,T
166,미입력,미입력,선택,pc,F,전화주문 고객,98420.0,0.0,0.0,1000.0,0.0,F
464,미입력,미입력,선택,pc,F,전화주문 고객,79800.0,79800.0,0.0,0.0,0.0,F
2459,미입력,미입력,선택,pc,F,사업자,108240.0,73240.0,0.0,1360.0,0.0,T
2052,미입력,미입력,선택,pc,F,딜러 유치 회원,330660.0,258100.0,0.0,5740.0,0.0,T
1227,미입력,미입력,선택,pc,F,사업자,202600.0,78950.0,0.0,2400.0,0.0,T
2323,미입력,미입력,선택,pc,F,전화주문 고객,213850.0,168850.0,0.0,0.0,0.0,F
1631,미입력,미입력,미입력,pc,F,일반,138300.0,123800.0,5.0,5400.0,0.0,F
3767,미입력,미입력,선택,pc,F,사업자,15030.0,15030.0,0.0,0.0,0.0,F
2560,미입력,미입력,선택,pc,F,전화주문 고객,371020.0,306020.0,0.0,0.0,0.0,F
2706,미입력,미입력,선택,pc,F,전화주문 고객,1747470.0,1238050.0,0.0,0.0,0.0,F
79,미입력,남자,선택,pc,F,전화주문 고객,60900.0,60900.0,0.0,1000.0,0.0,F
886,미입력,미입력,선택,pc,F,사업자,2012140.0,1791780.0,14.0,5700.0,0.0,T
405,미입력,미입력,선택,pc,F,사업자,566650.0,481110.0,0.0,13130.0,11530.0,T
1609,미입력,미입력,미입력,pc,F,일반,1296320.0,1132660.0,8.0,21100.0,12600.0,T
3237,미입력,미입력,선택,pc,F,전화주문 고객,1535590.0,1216990.0,0.0,0.0,0.0,F
3006,미입력,미입력,미입력,pc,F,사업자,2861610.0,2184570.0,53.0,10430.0,10430.0,T
3513,미입력,미입력,선택,pc,F,사업자,204300.0,181830.0,0.0,1890.0,0.0,F
2064,미입력,미입력,선택,pc,F,전화주문 고객,149820.0,119720.0,0.0,0.0,0.0,F
