,LOT번호,작업명,설비번호,단위중량(kg),투입중량(kg),투입액량(L),염색길이(m),공정진행시간(%),목표온도,지시온도,진행온도,목표대비 진행온도,지시대비 진행온도,포속1,포속2,포속3,포속4,염색색차 DE
33958,F2209010106,원단검사,FCM11,604,234.2,4000,433.0,4.83,50,30.0,28.3,0.5660000000000001,0.9433333333333334,85,2,106,2,1.696731
19036,F2207250116,염색,FCM15,146,189.6,4000,1600.0,96.54,0,30.0,39.8,0.0,1.3266666666666669,129,97,131,121,0.3985579
1668,F2202180111,원단검사,FCM12,495,45.4,600,1.0,45.05,0,129.2,127.7,0.0,0.988390092879257,52,63,0,0,3.967644
30006,F2208260119,원단검사,FCM05,450,147.4,2000,301.0,0.89,30,30.0,36.0,1.2,1.2,0,0,0,0,0.8009977
6893,F2203240028,원단검사,FCM11,190,85.6,4000,401.0,47.7,0,120.0,119.8,0.0,0.9983333333333332,84,83,105,123,1.655061
31832,F2208300093,원단검사,FCM12,460,49.8,600,7.0,30.39,0,94.8,94.5,0.0,0.9968354430379748,52,10,0,0,2.185405
29536,F2208240016,원단검사,FCM11,604,280.0,4000,2.0,67.5,0,89.4,88.7,0.0,0.9921700223713646,101,87,110,79,0.5512151
16362,F2207080049,원단검사,FCM08,450,95.8,1000,72.0,51.12,0,81.9,82.7,0.0,1.0097680097680095,53,321,34,302,1.355596
26622,F2208100051,원단검사,FCM05,324,139.6,2000,253.0,86.51,0,58.5,49.4,0.0,0.8444444444444444,105,106,419,85,0.5054298
7961,F2203280105,원단검사,FCM05,505,149.4,2000,6.0,91.88,0,30.0,39.6,0.0,1.32,40,203,98,105,0.9071327
12865,F2206290155,원단검사,FCM06,552,219.4,2000,6.0,1.4,30,30.0,27.1,0.9033333333333334,0.9033333333333334,37,2,58,1,1.562582
25565,F2208090013,염색,FCM08,800,66.0,1000,69.0,1.13,30,30.0,31.1,1.0366666666666666,1.0366666666666666,0,0,0,0,0.768085
9494,F2205160003,염색,FCM06,314,115.1,2000,401.0,6.28,80,39.2,39.8,0.4974999999999999,1.0153061224489794,4,6,204,2,0.4264583
23864,F2208040015,원단검사,FCM05,536,168.1,2000,1.0,63.16,0,71.3,72.6,0.0,1.0182328190743335,29,178,11,112,0.8125136
